I,Q
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
-1.83697019872103e-16,1
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
0.707106781186548,-0.707106781186547
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-0.707106781186547,0.707106781186548
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-1,-3.67394039744206e-16
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-0.707106781186547,-0.707106781186548
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
0.70710678118655,-0.707106781186545
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
-2.20498321910182e-15,1
0.70710678118655,-0.707106781186545
